,Genre,Title,Artist
0,Ballad,Love wins all,아이유
1,Ballad,비의 랩소디,임재현
2,Ballad,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
3,Ballad,헤어지자 말해요,박재정
4,Ballad,인사,범진
5,Ballad,꿈,태연 (TAEYEON)
6,Ballad,너의 모든 순간,성시경
7,Ballad,사막에서 꽃을 피우듯,우디 (Woody)
8,Ballad,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
9,Ballad,사랑은 늘 도망가,임영웅
10,Ballad,사랑인가 봐,멜로망스
11,Ballad,첫 눈,EXO
12,Ballad,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
13,Ballad,사랑하지 않아서 그랬어,임한별
14,Ballad,사랑할 수밖에,볼빨간사춘기
15,Ballad,그대가 내 안에 박혔다(그내박),순순희(기태)
16,Ballad,취중고백,김민석
17,Ballad,기억해줘요 내 모든 날과 그때를,화곡동 청개구리
18,Ballad,별 떨어진다 (I Do),디오 (D.O.)
19,Ballad,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
20,Ballad,해요 (2022),#안녕
21,Ballad,사랑..그게 뭔데,지아
22,Ballad,물론,허각
23,Ballad,"그대가 있는 곳, 언제 어디든",로이킴
24,Ballad,다정히 내 이름을 부르면,전건호
25,Ballad,I Love You,안세하
26,Ballad,우리들의 블루스,임영웅
27,Ballad,모래 알갱이,임영웅
28,Ballad,나에게 그대만이,탑현
29,Ballad,눈이 오잖아(Feat.헤이즈),이무진
30,Ballad,다시 만날 수 있을까,임영웅
31,Ballad,잠시라도 우리,나얼
32,Ballad,아버지,임영웅
33,Ballad,인생찬가,임영웅
34,Ballad,희재,성시경
35,Ballad,어른,Sondia
36,Ballad,널 미워하기로 했어,이예준
37,Ballad,하루,에일리(Ailee)
38,Ballad,그중에 그대를 만나,김호중
39,Ballad,새벽 통화,적재
40,Ballad,밤편지,아이유
41,Ballad,"밤, 바다",최유리
42,Ballad,첫눈처럼 너에게 가겠다,에일리(Ailee)
43,Ballad,밤하늘의 별을(2020),경서
44,Ballad,선물,멜로망스
45,Ballad,너의 번호를 누르고 (Prod. 영화처럼),#안녕
46,Ballad,그리워하다,비투비
47,Ballad,@은영이에게,#안녕
48,Ballad,응급실,izi
49,Ballad,Monologue,테이
50,Ballad,All For You,정은지
51,Ballad,yours,데이먼스 이어 (Damons year)
52,Ballad,내가 아니라도,주호
53,Ballad,사실말야내가말야그게그러니까말이야,케이시 (Kassy)
54,Ballad,너였다면,정승환
55,Ballad,달빛에 그려지는,미연 ((여자)아이들)
56,Ballad,아로하,조정석
57,Ballad,늦은 밤 너의 집 앞 골목길에서,노을
58,Ballad,내 손을 잡아,아이유
59,Ballad,취기를 빌려 (취향저격 그녀 X 산들),산들
60,Ballad,너를 만나,폴킴
61,Ballad,다시 사랑한다면 (니글니글 버터플라이),김필
62,Ballad,그때 헤어지면 돼,로이킴
63,Ballad,거리에서,성시경
64,Ballad,나의 X에게,경서
65,Ballad,Heaven(2023),임재현
66,Ballad,마음을 드려요,아이유
67,Ballad,광화문에서 (At Gwanghwamun),규현 (KYUHYUN)
68,Ballad,어디에도,엠씨더맥스 (M.C the MAX)
69,Ballad,그대라는 시,태연 (TAEYEON)
70,Ballad,사랑에 연습이 있었다면 (Prod. 2soo),임재현
71,Ballad,사랑의 바보,제이세라
72,Ballad,그때가 좋았어,케이시 (Kassy)
73,Ballad,곰인형 (Feat. 해금),린
74,Ballad,천상연,이창섭
75,Ballad,봄이 와도 (Prod. 로이킴),로이킴
76,Ballad,좋니,윤종신
77,Ballad,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
78,Ballad,떠나보낼 준비해 둘걸 그랬어,임한별
79,Ballad,Say I Love You,우디 (Woody)
80,Ballad,이별하러 가는 길,임한별
81,Ballad,...사랑했잖아...,린
82,Ballad,산책,백예린 (Yerin Baek)
83,Ballad,소녀,오혁
84,Ballad,눈사람,정승환
85,Ballad,입술 (Feat. 10CM),헤이즈 (Heize)
86,Ballad,널 사랑하지 않아,어반자카파
87,Ballad,미친 사랑의 노래,DK(디셈버)
88,Ballad,그대가 내 안에 박혔다,황치열
89,Ballad,안녕,폴킴
90,Ballad,이 소설의 끝을 다시 써보려 해,한동근
91,Ballad,내일 이별,신용재 (2F)
92,Ballad,Timeless,SG 워너비
93,Ballad,Beautiful,Crush
94,Ballad,기다리다,윤하 (YOUNHA)
95,Ballad,고백,멜로망스
96,Ballad,사랑이 아닌 단어로 사랑을 말해요,siso(시소)
97,Ballad,어떤 미래,WOOZI (SEVENTEEN)
98,Ballad,크리스마스니까,VIXX (빅스)
99,Ballad,지극히 사적인 얘기,다비치
100,Ballad,그 겨울엔 네가 있어,"허용별 (허각, 신용재, 임한별)"
101,Ballad,네 옆에 그 사람은 내가 아닌 다른사람,Kid Wine
102,Ballad,가을 타나 봐,바이브
103,Ballad,Hate You,정국
104,Ballad,I Love You (Prod. 김도훈),홍이삭
105,Ballad,가을 안부,먼데이 키즈 (Monday Kiz)
106,Ballad,운이 좋았지,권진아
107,Ballad,추억은 만남보다 이별에 남아,정동하
108,Ballad,This Christmas,태연 (TAEYEON)
109,Ballad,12월의 기적 (Miracles In December),EXO
110,Ballad,Merry &amp; Happy,TWICE (트와이스)
111,Ballad,겨울 고백,여동생
112,Ballad,내일의 우리 (Ordinary Days),디오 (D.O.)
113,Ballad,Someday,박은빈
114,Ballad,나무,카더가든
115,Ballad,눈 (Feat. 이문세),Zion.T
116,Ballad,Christmas Tree,V
117,Ballad,솔직하게 말해서 나,김나영
118,Ballad,저녁 하늘,에일리(Ailee)
119,Ballad,골목길 (with 성시경),성시경
120,Ballad,사랑하기 싫어,지아
121,Ballad,사랑하지 않아서 그랬니,지아
122,Ballad,Christmas Day,EXO
123,Ballad,시든 꽃에 물을 주듯,HYNN (박혜원)
124,Ballad,Shot Glass of Tears,정국
125,Ballad,너 밖엔 없더라,케이시 (Kassy)
126,Ballad,가을밤 떠난 너,케이시 (Kassy)
127,Ballad,Happiness,"허용별 (허각, 신용재, 임한별)"
128,Ballad,새벽에 걸려온 너의 전화는,한동근
129,Ballad,11:11,태연 (TAEYEON)
130,Ballad,야생화,박효신
131,Ballad,드라마,아이유
132,Ballad,"기다린 만큼, 더",검정치마
133,Ballad,우린 그렇게 사랑해서,잔나비 최정훈
134,Ballad,언제나 사랑해,케이시 (Kassy)
135,Ballad,너에게 못했던 내 마지막 말은,다비치
136,Ballad,혼자 왔어요,김연지
137,Ballad,Never Ending Story,김민석
138,Ballad,찬란한 하루,멜로망스
139,Ballad,안녕이라고 말하지마,V.O.S
140,Ballad,이럴거면,거미
141,Ballad,행복한 나를,빅마마
142,Ballad,시간과 낙엽,AKMU (악뮤)
143,Ballad,잘가요,주호
144,Ballad,서랍,10CM
145,Ballad,발걸음,DK(디셈버)
146,Ballad,언젠간 괜찮아질 이야기,정승환
147,Ballad,한사람만 (2023) (여름날 우리 X 이홍기 (FT아일랜드)),이홍기 (FT아일랜드)
148,Ballad,그대를 알고,송하예
149,Ballad,지나오다,닐로(Nilo)
150,Ballad,바라만 본다,MSG워너비(M.O.M)
151,Ballad,그댄 행복에 살텐데 (2022),최유리
152,Ballad,나비무덤,포맨 (4MEN)
153,Ballad,마지막 사랑,신예영
154,Ballad,어디든 가자 (Feat. 허성현),경서
155,Ballad,"우리 사랑 이대로 (여름날 우리 X 규현 (KYUHYUN), 정은지)",정은지
156,Ballad,너 없인 안 된다,비투비
157,Ballad,가질 수 없는 너,#안녕
158,Ballad,"여자는 말 못하고, 남자는 모르는 것들",정동하
159,Ballad,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy)
160,Ballad,너를 보는게 지친 하루에,송하예
161,Ballad,당신을 만나,송가인
162,Ballad,비가 오는 날엔 (2021),헤이즈 (Heize)
163,Ballad,스티커 사진,21학번
164,Ballad,사랑은 가슴이 시킨다(2023),이창섭
165,Ballad,끝,권진아
166,Ballad,그때 그 아인,김필
167,Ballad,Hear Me Out,EXO
168,Ballad,Let Me In,EXO
169,Ballad,나의 마음에 (Seed),태양
170,Ballad,너에게 닿을게,정승환
171,Ballad,잘사니,노을
172,Ballad,우리 왜 헤어져야 해 (여름날 우리 X 전상근),전상근
173,Ballad,오늘도 빛나는 너에게,박민혜 (빅마마)
174,Ballad,삭제,이홍기 (FT아일랜드)
175,Ballad,혼자라고 생각말기,임한별
176,Ballad,비가 오는 날엔,비스트
177,Ballad,잊는 법,이예준
178,Ballad,이 새벽에 전화하는 건,황인욱
179,Ballad,상록수,이우
180,Ballad,바람,윤하 (YOUNHA)
181,Ballad,Heaven,HYNN (박혜원)
182,Ballad,이 세상 끝까지,#안녕
183,Ballad,다시 사랑한다면,한동근
184,Ballad,운다 운다,허각
185,Ballad,그날 밤,장혜진
186,Ballad,처음처럼,송하예
187,Ballad,결국엔 너에게 닿아서,WSG워너비 (가야G)
188,Ballad,다시 사랑할 수 있게,멜로망스
189,Ballad,봄 사랑 벚꽃 말고,아이유
190,Ballad,네가 보고 싶은 건 자연스러운 거겠지,신예영
191,Ballad,되돌리다,먼데이 키즈 (Monday Kiz)
192,Ballad,사랑했지만,전건호
193,Ballad,혼자 사랑하면 되니까,Kid Wine
