,Genre,Title,Artist
0,Blues,후라이의 꿈,AKMU (악뮤)
1,Blues,숲,최유리
2,Blues,연애편지,임영웅
3,Blues,그라데이션,10CM
4,Blues,첫사랑,백아
5,Blues,오래된 노래,스탠딩 에그
6,Blues,나의 사춘기에게,볼빨간사춘기
7,Blues,오랜 날 오랜 밤,AKMU (악뮤)
8,Blues,스토커,10CM
9,Blues,폰서트,10CM
10,Blues,Love story,볼빨간사춘기
11,Blues,우주를 줄게,볼빨간사춘기
12,Blues,Swan Song,LE SSERAFIM (르세라핌)
13,Blues,김철수 씨 이야기,허회경
14,Blues,Give Love,AKMU (악뮤)
15,Blues,You(=I),볼빨간사춘기
16,Blues,IF YOU,BIGBANG (빅뱅)
17,Blues,좋다고 말해,볼빨간사춘기
18,Blues,Somebody,디오 (D.O.)
19,Blues,썸 탈꺼야,볼빨간사춘기
20,Blues,"나만, 봄",볼빨간사춘기
21,Blues,FRIEND THE END,볼빨간사춘기
22,Blues,소년,10CM
23,Blues,나만 안되는 연애,볼빨간사춘기
24,Blues,부동의 첫사랑,10CM
25,Blues,스노우볼,볼빨간사춘기
26,Blues,오늘,오왠 (O.WHEN)
27,Blues,가을 아침,아이유
28,Blues,200%,AKMU (악뮤)
29,Blues,사라진 모든 것들에게(with ELLE KOREA),사이먼 도미닉
30,Blues,니가 보고싶은 밤,윤딴딴
31,Blues,그렇게 살아가는 것,허회경
32,Blues,사랑은 은하수 다방에서,10CM
33,Blues,남이 될 수 있을까,스무살
34,Blues,봄이 좋냐??,10CM
35,Blues,Too Sad to Dance,정국
36,Blues,동그라미,최유리
37,Blues,STAY,BLACKPINK
38,Blues,Little Star,스탠딩 에그
39,Blues,"L’Amour, Les Baguettes, Paris",스텔라장 (Stella Jang)
40,Blues,봄봄봄,로이킴
41,Blues,별 보러 갈래?,볼빨간사춘기
42,Blues,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기
43,Blues,나는 반딧불,중식이
44,Blues,마음,아이유
45,Blues,애상,10CM
46,Blues,심술,볼빨간사춘기
47,Blues,널 생각해,원 모어 찬스 (one more chance)
48,Blues,청춘 (Feat. 김창완),김필
49,Blues,헤어지던 밤,어쿠루브
50,Blues,Blue,볼빨간사춘기
51,Blues,기대어 앉은 오후에는,소수빈
52,Blues,바다,최유리
53,Blues,서른 즈음에,김광석
54,Blues,너무 아픈 사랑은 사랑이 아니었음을,김광석
55,Blues,가을 타나 봐,이무진
56,Blues,Seoul,볼빨간사춘기
57,Blues,사랑해 진짜,임영웅
58,Blues,Gone,로제 (ROSÉ)
59,Blues,"나의 모든 이들에게,",Mingginyu (밍기뉴)
60,Blues,#첫사랑,볼빨간사춘기
61,Blues,여름비,샘김 (Sam Kim)
62,Blues,여름날 (feat. 하현상),볼빨간사춘기
63,Blues,잊어야 한다는 마음으로,김광석
64,Blues,Happy Song,멜로망스
65,Blues,잘 지내,적재
66,Blues,지켜줄게,백예린 (Yerin Baek)
67,Blues,테두리,백아
68,Blues,pet,10CM
69,Blues,싸운날,볼빨간사춘기
70,Blues,돌아가네,영탁
71,Blues,미운오리새끼,leejean
72,Blues,사랑했지만,김광석
73,Blues,그게 뭐라고,어쿠루브
74,Blues,X Song,볼빨간사춘기
75,Blues,Why So Lonely,EJel (이젤)
76,Blues,Chase Love Hard (Feat. 황민현),볼빨간사춘기
77,Blues,너 사용법,에디킴
78,Blues,부끄럼,멜로망스
79,Blues,기적 (Wonder),디오 (D.O.)
80,Blues,Whisky on the Rock,김연지
81,Blues,Second Chance,영탁
82,Blues,Love Love Love,로이킴
83,Blues,프리지아,볼빨간사춘기
84,Blues,Mermaid,볼빨간사춘기
85,Blues,아침만 남겨주고,김현창
86,Blues,정거장,아이유
87,Blues,매트리스,10CM
88,Blues,널 보고 있으면,"고막남친단 (테종, 홍이삭)"
89,Blues,가끔 연락하던 애 (@kyulisme),10CM
90,Blues,오빠야,신현희와김루트
91,Blues,RE-BYE,AKMU (악뮤)
92,Blues,피노키오,로이킴
93,Blues,밤 끝없는 밤,AKMU (악뮤)
94,Blues,이상한 사람,존박
95,Blues,월급은 통장을 스칠 뿐,스텔라장 (Stella Jang)
96,Blues,"수고했어, 오늘도",옥상달빛
97,Blues,사랑하는 사람들에게 가장 상처 주는 키를 우리는 모두 가지고 있어,김사월
98,Blues,우리가 맞다는 대답을 할 거예요 (@leekangseung111),10CM
99,Blues,"그대와 나, 설레임 (Feat. 소울맨)",어쿠스틱 콜라보
100,Blues,추억속의 그대,"OMZ (이젤 (EJel), leejean)"
101,Blues,김성호의 회상,테종
102,Blues,백만송이 장미,김수영
103,Blues,Love,볼빨간사춘기
104,Blues,혼자만의 느낌,"형님 먼저 아우 먼저 (서윤혁, 소수빈)"
105,Blues,단 하나,최유리
106,Blues,Be Your Christmas (Feat. 볼빨간사춘기),스웨덴세탁소
107,Blues,여름에 두었다,숀 (SHAUN)
108,Blues,난 묻어요,허회경
109,Blues,사랑에게,최유리
110,Blues,내게 사랑은 너무 써,서윤혁
111,Blues,생각을 멈추다 보면,최유리
112,Blues,대화가 필요해,주시크 (Joosiq)
113,Blues,Rose,디오 (D.O.)
114,Blues,방황하는 젊음,최유리
115,Blues,너의 밤은 어때,그_냥
116,Blues,우리만은,최유리
117,Blues,10월의 날씨,10CM
118,Blues,여름밤에 우린,스탠딩 에그
119,Blues,가끔 미치도록 네가 안고 싶어질 때가 있어,가을방학
120,Blues,외국인의 고백,AKMU (악뮤)
121,Blues,품,볼빨간사춘기
122,Blues,얼음들,AKMU (악뮤)
123,Blues,라면인건가,AKMU (악뮤)
124,Blues,사랑한대 (With Windy),스탠딩 에그
125,Blues,물 만난 물고기,AKMU (악뮤)
126,Blues,작은별,AKMU (악뮤)
127,Blues,리얼리티,AKMU (악뮤)
128,Blues,WE GO HIGH,로이킴
129,Blues,그리움에 지쳐서 힘들어 하는 밤,어쿠루브
130,Blues,여름을 좋아하는 이유,윤딴딴
131,Blues,그게 뭐라고 (여름날 우리 X 황민현),황민현
132,Blues,빌런 (Villain),스텔라장 (Stella Jang)
133,Blues,방에 모기가 있어 (Do You Think Of Me?),10CM
134,Blues,로맨틱 선데이,카더가든
135,Blues,오늘밤은 어둠이 무서워요,10CM
136,Blues,너로 짙은 밤 (With 한올),새봄 (saevom)
137,Blues,너란 봄 (Feat. 하림),정은지
138,Blues,나와 내 이웃에게,허회경
139,Blues,"반짝 빛나던, 나의 2006년",적재
140,Blues,그러나,10CM
141,Blues,쓰담쓰담,10CM
142,Blues,편지,n@di (나디)
143,Blues,사랑을 말해요,이문세
144,Blues,"사랑노래 같은 이별노래 (Feat. 한올, 리와인)",어쿠루브
145,Blues,나들이 갈까,볼빨간사춘기
146,Blues,비밀의 화원,원슈타인
147,Blues,빈칸을 채워주시오,볼빨간사춘기
148,Blues,"오, 사랑",적재
149,Blues,너,아이유
150,Blues,Oh Friday (루디고 GO X 송예빈),송예빈
151,Blues,고쳐주세요,볼빨간사춘기
152,Blues,오 나의 사랑,이재훈 (쿨)
153,Blues,Picnic,오왠 (O.WHEN)
154,Blues,그대 발길 머무는 곳에,김희재
155,Blues,봄이 되어줄게 (Feat. 그_냥),고닥
156,Blues,짝사랑 (feat. 민수) (@kiiiiiiiiiite),10CM
157,Blues,간밤에,기리보이
158,Blues,상상,볼빨간사춘기
159,Blues,취기를 빌려 (Vocal 이민혁),새봄 (saevom)
160,Blues,봄이 온 것 같애,1415
161,Blues,꽃,로이킴
162,Blues,이름,최유리
163,Blues,1995년 여름,이승윤
164,Blues,넌 이별 난 아직 (With 한소현 Of 3rd Coast),스탠딩 에그
165,Blues,벚꽃이 내린다,소란 (SORAN)
