,Genre,Title,Artist
0,Dance,첫 만남은 계획대로 되지 않아,TWS (투어스)
1,Dance,Love 119,RIIZE
2,Dance,Perfect Night,LE SSERAFIM (르세라핌)
3,Dance,Drama,aespa
4,Dance,Wife,(여자)아이들
5,Dance,Super Lady,(여자)아이들
6,Dance,I AM,IVE (아이브)
7,Dance,Seven (feat. Latto) - Clean Ver.,정국
8,Dance,Get A Guitar,RIIZE
9,Dance,MANIAC,VIVIZ (비비지)
10,Dance,Love Lee,AKMU (악뮤)
11,Dance,Baddie,IVE (아이브)
12,Dance,You &amp; Me,제니 (JENNIE)
13,Dance,Super Shy,NewJeans
14,Dance,퀸카 (Queencard),(여자)아이들
15,Dance,Hype Boy,NewJeans
16,Dance,Ditto,NewJeans
17,Dance,ETA,NewJeans
18,Dance,Spicy,aespa
19,Dance,Standing Next to You,정국
20,Dance,Kitsch,IVE (아이브)
21,Dance,LOVE DIVE,IVE (아이브)
22,Dance,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
23,Dance,OMG,NewJeans
24,Dance,After LIKE,IVE (아이브)
25,Dance,Fast Forward,전소미
26,Dance,음악의 신,세븐틴 (SEVENTEEN)
27,Dance,손오공,세븐틴 (SEVENTEEN)
28,Dance,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
29,Dance,Dynamite,방탄소년단
30,Dance,Attention,NewJeans
31,Dance,Bubble,STAYC(스테이씨)
32,Dance,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
33,Dance,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
34,Dance,Off The Record,IVE (아이브)
35,Dance,Do or Die,임영웅
36,Dance,나는 아픈 건 딱 질색이니까,(여자)아이들
37,Dance,Butter,방탄소년단
38,Dance,Chill Kill,Red Velvet (레드벨벳)
39,Dance,Talk Saxy,RIIZE
40,Dance,GODS,League of Legends
41,Dance,I Love My Body,화사 (HWASA)
42,Dance,DASH,NMIXX
43,Dance,꽃,지수 (JISOO)
44,Dance,Teddy Bear,STAYC(스테이씨)
45,Dance,ANTIFRAGILE,LE SSERAFIM (르세라핌)
46,Dance,Candy,NCT DREAM
47,Dance,All Night (Feat. Saweetie),IVE (아이브)
48,Dance,화이트 (White),폴킴
49,Dance,Bad News,KISS OF LIFE
50,Dance,NO MORE (MA BOY),씨스타19
51,Dance,New Jeans,NewJeans
52,Dance,3D (feat. Jack Harlow),Jack Harlow
53,Dance,Nxde,(여자)아이들
54,Dance,Celebrity,아이유
55,Dance,Next Level,aespa
56,Dance,ELEVEN,IVE (아이브)
57,Dance,Soñar (Breaker),NMIXX
58,Dance,Cupid,FIFTY FIFTY
59,Dance,Memories,RIIZE
60,Dance,FEARLESS,LE SSERAFIM (르세라핌)
61,Dance,마지막처럼,BLACKPINK
62,Dance,Baggy Jeans,NCT U
63,Dance,INVU,태연 (TAEYEON)
64,Dance,Underwater,권은비
65,Dance,UNTOUCHABLE,ITZY (있지)
66,Dance,Permission to Dance,방탄소년단
67,Dance,Weekend,태연 (TAEYEON)
68,Dance,Fact Check (불가사의; 不可思議),NCT 127
69,Dance,Love Me Like This,NMIXX
70,Dance,I WANT,IVE (아이브)
71,Dance,아주 NICE,세븐틴 (SEVENTEEN)
72,Dance,라일락,아이유
73,Dance,Feel My Rhythm,Red Velvet (레드벨벳)
74,Dance,하루 하루,BIGBANG (빅뱅)
75,Dance,Lovesick Girls,BLACKPINK
76,Dance,비행기,거북이
77,Dance,Allergy,(여자)아이들
78,Dance,SMILEY (Feat. BIBI),YENA (최예나)
79,Dance,도깨비불 (Illusion),aespa
80,Dance,롤린 (Rollin'),브레이브걸스
81,Dance,거짓말,BIGBANG (빅뱅)
82,Dance,Cookie,NewJeans
83,Dance,That That (prod. &amp; feat. SUGA of BTS),싸이 (PSY)
84,Dance,KIDDING,이세계아이돌
85,Dance,불장난,BLACKPINK
86,Dance,Better Things,aespa
87,Dance,Cool With You,NewJeans
88,Dance,폼미쳤다,영탁
89,Dance,Savage,aespa
90,Dance,붉은 노을,BIGBANG (빅뱅)
91,Dance,Dun Dun Dance,오마이걸 (OH MY GIRL)
92,Dance,Forever Young,BLACKPINK
93,Dance,In Bloom,ZEROBASEONE (제로베이스원)
94,Dance,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
95,Dance,ASAP,STAYC(스테이씨)
96,Dance,Oh Mymy : 7s,TWS (투어스)
97,Dance,나의 바람 (Wind And Wish),비투비
98,Dance,ISTJ,NCT DREAM
99,Dance,KNOCK,이채연
100,Dance,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유
101,Dance,Chili,화사 (HWASA)
102,Dance,Like Crazy,지민
103,Dance,Chasing That Feeling,투모로우바이투게더
104,Dance,이루리,우주소녀
105,Dance,화이트(WHITE) (Feat. 박재범),다비치
106,Dance,매일 크리스마스 (Everyday Christmas),다비치
107,Dance,Jingle Bell Rock,aespa
108,Dance,Dear Santa,소녀시대-태티서 (Girls' Generation-TTS)
109,Dance,울면 안 돼,비투비
110,Dance,Say Yes,원탑
111,Dance,하얀 고백 (Lately),인피니트
112,Dance,NOBODY,리즈 (IVE)
113,Dance,CRUSH (가시),ZEROBASEONE (제로베이스원)
114,Dance,커플,젝스키스
115,Dance,크리스마스잖아요,B1A4
116,Dance,종소리,러블리즈
117,Dance,Candy Cane,태연 (TAEYEON)
118,Dance,울어도 돼,비투비
119,Dance,Please Don't Change (feat. DJ Snake),정국
120,Dance,SOS (Prod. Marshmello),세븐틴 (SEVENTEEN)
121,Dance,Diamond Days,세븐틴 (SEVENTEEN)
122,Dance,여름이 들려 (Summer Comes),오마이걸 (OH MY GIRL)
123,Dance,Back 2 Back,세븐틴 (SEVENTEEN)
124,Dance,Yogurt Shake,NCT DREAM
125,Dance,STRANGER,선미
126,Dance,뭣 같아,BOYNEXTDOOR
127,Dance,트월ㅋ (Prod. Czaer),우기 ((여자)아이들)
128,Dance,VIBE (feat. Jimin of BTS),태양
129,Dance,Gum,제시 (Jessi)
130,Dance,Sugar Rush Ride,투모로우바이투게더
131,Dance,Seven (feat. Latto) - Explicit Ver.,정국
132,Dance,POP!,나연 (TWICE)
133,Dance,SNEAKERS,ITZY (있지)
134,Dance,Cream Soda,EXO
135,Dance,FOREVER 1,소녀시대 (GIRLS' GENERATION)
136,Dance,Get Up,NewJeans
137,Dance,Poppy (Korean Ver.),STAYC(스테이씨)
138,Dance,Back for More (with Anitta),Anitta
139,Dance,LOCKDOWN,이세계아이돌
140,Dance,아름다운 구속,NewJeans
141,Dance,Roller Coaster,NMIXX
142,Dance,Party O'Clock,NMIXX
143,Dance,"Swipe (Prod. C-Young, Alawn)",텐 (TEN)
144,Dance,BLUE MOON (Prod. GroovyRoom),창모 (CHANGMO)
145,Dance,Dance The Night Away,TWICE (트와이스)
146,Dance,Dolphin,오마이걸 (OH MY GIRL)
