,Genre,Title,Artist
0,Electronika,The Drum,Alan Walker
1,Electronika,Closer (Feat. Halsey),The Chainsmokers
2,Electronika,Faded,Alan Walker
3,Electronika,On My Way (배틀그라운드 모바일 배경음악),Farruko
4,Electronika,The Nights,Avicii
5,Electronika,"All Falls Down (Feat. Noah Cyrus, Digital Farm Animals)",Alan Walker
6,Electronika,Day 1 ◑,HONNE
7,Electronika,Something Just Like This,Coldplay
8,Electronika,Alone,Alan Walker
9,Electronika,Stay,Alessia Cara
10,Electronika,"Feels (Feat. Pharrell Williams, Katy Perry, Big Sean)",Calvin Harris
11,Electronika,The Ocean (Feat. Shy Martin) (Radio Edit.),Mike Perry
12,Electronika,Waiting For Love,Avicii
13,Electronika,Malibu Nights,LANY
14,Electronika,Symphony (Feat. Zara Larsson),Clean Bandit
15,Electronika,Toca Toca (Radio Edit),Fly Project
16,Electronika,The Spectre,Alan Walker
17,Electronika,Hate You + Love You (Feat. AJ Mitchell),Cheat Codes
18,Electronika,Everything Black,Mike Taylor
19,Electronika,How to Love (feat. Sofia Reyes),Cash Cash
20,Electronika,"Hey Mama (Feat. Nicki Minaj, Bebe Rexha &amp; Afrojack)",David Guetta
21,Electronika,Paris,The Chainsmokers
22,Electronika,Warm On A Cold Night,HONNE
23,Electronika,The Middle,Maren Morris
24,Electronika,Let Me Love You (Feat. Justin Bieber),DJ Snake
25,Electronika,ily (i love you baby) (Feat. Emilee),Surf Mesa
26,Electronika,This Is What You Came For,Rihanna
27,Electronika,Samsara (Feat. Emila),Tungevaag &amp; Raaban
28,Electronika,Dancin (Feat. Luvli) (Krono Remix),Aaron Smith
29,Electronika,Rise (Feat. Jack &amp; Jack),Jonas Blue
30,Electronika,Who I Am,Peder Elias
31,Electronika,Way Back Home (feat. Conor Maynard) [Sam Feldt Edit],숀 (SHAUN)
32,Electronika,Narco,Timmy Trumpet
33,Electronika,Titanium (Feat. Sia),David Guetta
34,Electronika,Wake Me Up (Radio Edit),Avicii
35,Electronika,Love Is Gone (feat. Dylan Matthew),Slander
36,Electronika,Whatever,Ava Max
37,Electronika,Bad (Feat. Vassy) (Radio Edit),Showtek
38,Electronika,Rather Be (Feat. Jess Glynne),Clean Bandit
39,Electronika,Believers,Conor Maynard
40,Electronika,You,Tate McRae
41,Electronika,Be Kind,Halsey
42,Electronika,13,LANY
43,Electronika,Lily,Emelie Hollow
44,Electronika,Who Do You Love,5 Seconds of Summer
45,Electronika,Get Lucky (feat. Pharrell Williams and Nile Rodgers),Nile Rodgers
46,Electronika,Way Back Home (feat. Conor Maynard) [Sam Feldt Festival Mix],숀 (SHAUN)
47,Electronika,BOOM (Feat. Gucci Mane),Sevenn
48,Electronika,One Kiss,Dua Lipa
49,Electronika,Lovesick,Sophie Simmons
50,Electronika,Cold Water (Feat. Justin Bieber &amp; MØ),Major Lazer
51,Electronika,Jiggle Jiggle,Louis Theroux
52,Electronika,Cradles,Sub Urban
53,Electronika,walk but in a garden,mxmtoon
54,Electronika,Summer Days (feat. Macklemore &amp; Patrick Stump of Fall Out Boy) (시몬스 침대 광고 삽입곡),Martin Garrix
55,Electronika,"Slide (Feat. Frank Ocean, Migos)",Calvin Harris
56,Electronika,Darkside (Feat. Tomine Harket &amp; Au/Ra),Alan Walker
57,Electronika,Mama (Feat. William Singe),Jonas Blue
58,Electronika,There For You,Troye Sivan
59,Electronika,Hymn For The Weekend (Seeb Remix),Coldplay
60,Electronika,2 Phút Hơn (KAIZ Remix),Phao
61,Electronika,Don't Let Me Down (Feat. Daya),The Chainsmokers
62,Electronika,Friendships (Lost My Love) (Feat. Leony),Pascal Letoublon
63,Electronika,Don't Touch,Dan Farber
64,Electronika,Tie Me Down,Elley Duhé
65,Electronika,Beautiful Now (Feat. Jon Bellion),Zedd
66,Electronika,Rockabye (Feat. Sean Paul &amp; Anne-Marie),Clean Bandit
67,Electronika,Symphony (Feat. Zara Larsson) (Charming Horses Remix),Clean Bandit
68,Electronika,Feels So Good ◑,HONNE
69,Electronika,New Thang,Redfoo
70,Electronika,iPad,The Chainsmokers
71,Electronika,ILYSB,LANY
72,Electronika,On My Way,Farruko
73,Electronika,Paycheck,New Hope Club
74,Electronika,Lullaby (LG Q7 광고 삽입곡),Paloma Faith
75,Electronika,3am,HONNE
76,Electronika,You for Me,Rita Ora
77,Electronika,Light It Up (Feat. Jex),Tobimorrow
78,Electronika,Hero (Feat. Christina Perri),Cash Cash
79,Electronika,Bangarang (Feat. Sirah),Skrillex
80,Electronika,WTF (feat. Amber Van Day),Hugel
81,Electronika,Sing Me To Sleep,Alan Walker
82,Electronika,Solo (Feat. Demi Lovato),Clean Bandit
83,Electronika,"Instruction (Feat. Demi Lovato, Stefflon Don)",Jax Jones
84,Electronika,Satisfied (Feat. MAX),Galantis
85,Electronika,Young Gods (전지현 '헤라' 광고 삽입곡),Total Ape
86,Electronika,Younger,HRVY
87,Electronika,AM:PM,Maia Wright
88,Electronika,Man On The Moon,Benjamin Ingrosso
89,Electronika,Hero,Sasha Alex Sloan
90,Electronika,Lie To Me,Sylow
91,Electronika,Turn Down for What,Lil Jon
92,Electronika,You Know What I Need,Troye Sivan
93,Electronika,Sex Apeal (Max Farenthide Radio Edit) (Feat. Mike W.),Bueno Clinic
94,Electronika,The Bad Touch (Gordon &amp; Doyle Edit),Empyre One
95,Electronika,Ylang Ylang,((( O )))
96,Electronika,Play Hard (Feat. Ne-Yo &amp; Akon) (New Edit),David Guetta
97,Electronika,Heroes Tonight (Feat. Johnning),Janji
98,Electronika,Bomba (Klass Club Mix) (영화 '검사외전 강동원 댄스' 삽입곡),Jessy Matador
99,Electronika,Jingle Bell Rock (Single Version),Bobby Helms
100,Electronika,Don’t Wake Me Up,Why Don't We
101,Electronika,Summer In New York,Sofi Tukker
102,Electronika,Care Less,Peder Elias
103,Electronika,Lonely Together (Feat. Rita Ora),Avicii
104,Electronika,Leyla,Mesto
105,Electronika,Feliz Navidad (펠리스 나비다) (I Wanna Wish You A Merry Christmas),Magdaleine
106,Electronika,Christmas Time (Feat. Jeremy Oceans),Brennan Heart
107,Electronika,24,Sundial
108,Electronika,Pink Skies,LANY
109,Electronika,Ignite (2016 League Of Legends World Championship),Zedd
110,Electronika,3:00 AM,Finding Hope
111,Electronika,Narco (Extended Mix),Timmy Trumpet
112,Electronika,Happy Now,Elley Duhé
113,Electronika,Taped up Pieces,Ez Quew
114,Electronika,Young,The Chainsmokers
115,Electronika,"Better Off (Alone, Pt. III)",Vikkstar
116,Electronika,Cotton Candy Clouds,Trevor Dering
117,Electronika,Dessert,Dawin
118,Electronika,Without You,Sandro Cavazza
119,Electronika,Somebody Like U,Au/Ra
120,Electronika,This Girl (Kungs Vs. Cookin' On 3 Burners),Cookin' On 3 Burners
121,Electronika,Rush,Hyunjin
122,Electronika,Heaven,Katelyn Tarver
123,Electronika,Why Do I? (Feat. Bri Tolani),Unknown Brain
124,Electronika,"Taki Taki (Feat. Selena Gomez, Ozuna, Cardi B)",DJ Snake
125,Electronika,Desire,Sam Smith
126,Electronika,Polaroid,Lennon Stella
127,Electronika,Just Got Paid (Feat. French Montana),Meghan Trainor
128,Electronika,Runaway With It,HRVY
129,Electronika,Love You More,Mount Cashmore
130,Electronika,Only A Fool,Pink Sweat$
131,Electronika,Crazy Love (Feat. Deb’s Daughter),Audien
132,Electronika,It Ain't Me,Selena Gomez
133,Electronika,Run Free (feat. IVIE),Deep Chills
134,Electronika,All You Need Is Love,Nico Santos
135,Electronika,Baby Don't Hurt Me (feat. Coi Leray),Anne-Marie
136,Electronika,Came Here For Love,Ella Eyre
137,Electronika,That's What I Like (feat. LKY Young),Charming Horses
138,Electronika,Ritual,Alan Walker
139,Electronika,Funny,Jasmine Thompson
140,Electronika,Run It,Annika Wells
141,Electronika,Shut Up,UPSAHL
142,Electronika,Silent Disco (feat. Matt Elle),Summer Vibes
143,Electronika,Born To Be Yours,Imagine Dragons
144,Electronika,High,The Chainsmokers
145,Electronika,Love Line,Tinashe
146,Electronika,Cassette,ayokay
147,Electronika,Perfect Melody,Julian Perretta
148,Electronika,I Love U,The Chainsmokers
149,Electronika,Takeaway (feat. Lennon Stella),ILLENIUM
150,Electronika,2 U (Feat. Anthony Pavel),Pink Slip
151,Electronika,Lost In The Night,Aurya
152,Electronika,2U (Feat. Justin Bieber),David Guetta
153,Electronika,Time Bomb,The Chainsmokers
154,Electronika,like you,Jean Tonique
155,Electronika,Back To You,iamnotshane
156,Electronika,Make You Mine,SAINT WKND
157,Electronika,Good Together,HONNE
158,Electronika,Look Where We Are,강다니엘
159,Electronika,"Bad Boy (with Wiz Khalifa, bbno$, MAX)",Yung Bae
