,Genre,Title,Artist
0,Hiphop,"Smoke (Prod. Dynamicduo, Padi)",이영지
1,Hiphop,홀씨,아이유
2,Hiphop,봄날,방탄소년단
3,Hiphop,EASY,LE SSERAFIM (르세라핌)
4,Hiphop,A bientot,임영웅
5,Hiphop,Summer (Feat. BE’O (비오)),Paul Blanco
6,Hiphop,"이쁜 여자가 좋더라 (Feat. Gist, Jayci yucca)",릴러말즈 (Leellamarz)
7,Hiphop,거리에서 (Feat. ASH ISLAND),릴러말즈 (Leellamarz)
8,Hiphop,Trip (Feat. Hannah),릴러말즈 (Leellamarz)
9,Hiphop,어땠을까 (Feat. 박정현),싸이 (PSY)
10,Hiphop,Shut Down,BLACKPINK
11,Hiphop,LOVE me,BE'O (비오)
12,Hiphop,Pink Venom,BLACKPINK
13,Hiphop,OHAYO MY NIGHT,PATEKO (파테코)
14,Hiphop,CAKE,ITZY (있지)
15,Hiphop,내 기쁨은 너가 벤틀리를 끄는 거야,김승민
16,Hiphop,미쳐버리겠다 (MAD),BE'O (비오)
17,Hiphop,Officially Missing You,긱스 (Geeks)
18,Hiphop,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
19,Hiphop,내일 얘기해,MEENOI
20,Hiphop,시차 (We Are) (Feat. 로꼬 &amp; GRAY),우원재
21,Hiphop,Stay With Me (Feat. Skinny Brown),ASH ISLAND
22,Hiphop,"Rainy day (Feat. ASH ISLAND, Skinny Brown)",PATEKO (파테코)
23,Hiphop,METEOR,창모 (CHANGMO)
24,Hiphop,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들
25,Hiphop,하루 하루,BIGBANG (빅뱅)
26,Hiphop,자니 (Feat. Dynamic Duo),프라이머리
27,Hiphop,죽일 놈 (Guilty),다이나믹 듀오
28,Hiphop,Closer Than This,지민
29,Hiphop,"헤어지지 못하는 여자, 떠나가지 못하는 남자 (Feat. 정인)",리쌍
30,Hiphop,거짓말,BIGBANG (빅뱅)
31,Hiphop,죽을 만큼 아파서 (Feat. 멜로우),MC몽
32,Hiphop,어떻게 지내 (Prod. By VAN.C),오반
33,Hiphop,우산 (Feat. 윤하),에픽하이 (EPIK HIGH)
34,Hiphop,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지
35,Hiphop,존재만으로,원슈타인
36,Hiphop,Y (Please Tell Me Why),프리스타일
37,Hiphop,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo
38,Hiphop,BATTER UP,BABYMONSTER
39,Hiphop,GONE (Feat. Paloalto) (Prod. TOIL),TOIL
40,Hiphop,문득,BE'O (비오)
41,Hiphop,미안해서 미안해 (Feat. G.NA),김진표
42,Hiphop,자격지심 (Feat. ZICO),BE'O (비오)
43,Hiphop,붉은 노을,BIGBANG (빅뱅)
44,Hiphop,뜨거운 안녕 (Feat. 성시경),싸이 (PSY)
45,Hiphop,너에게 쓰는 편지 (Feat. 린),MC몽
46,Hiphop,사랑을 했다 (LOVE SCENARIO),iKON
47,Hiphop,작별인사 (Feat. Paul Blanco),ASH ISLAND
48,Hiphop,Right Now (Feat. Crush),쿠기 (Coogie)
49,Hiphop,HOT,세븐틴 (SEVENTEEN)
50,Hiphop,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오)
51,Hiphop,삐딱하게 (Crooked),G-DRAGON
52,Hiphop,아무노래,지코 (ZICO)
53,Hiphop,우연히 봄,유주 (YUJU)
54,Hiphop,AEAO,DJ Premier
55,Hiphop,이 노래가 클럽에서 나온다면,우디 (Woody)
56,Hiphop,"검정색하트 (Feat. Leellamarz, BE'O)",TOIL
57,Hiphop,특,Stray Kids (스트레이 키즈)
58,Hiphop,Ballerino,리쌍
59,Hiphop,아름다워,창모 (CHANGMO)
60,Hiphop,내 생애 가장 행복한 시간 (Feat. 허각),MC몽
61,Hiphop,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK
62,Hiphop,FWB,창모 (CHANGMO)
63,Hiphop,"And July (Feat. DEAN, DJ Friz)",헤이즈 (Heize)
64,Hiphop,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick)
65,Hiphop,우리서로사랑하지는말자,기리보이
66,Hiphop,Jasmine,DPR LIVE
67,Hiphop,악몽,ASH ISLAND
68,Hiphop,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),머쉬베놈 (MUSHVENOM)
69,Hiphop,마지막 인사,BIGBANG (빅뱅)
70,Hiphop,마이웨이 (MY WAY) (Prod. R.Tee),로스 (Los)
71,Hiphop,로맨틱 겨울 (Feat. 김진호 Of SG워너비),김진표
72,Hiphop,멜로디,ASH ISLAND
73,Hiphop,예술이야,싸이 (PSY)
74,Hiphop,I Love U Oh Thank U (Feat. 김태우 Of God),MC몽
75,Hiphop,한여름밤의 꿀,레이나 (Raina)
76,Hiphop,MY BAG,(여자)아이들
77,Hiphop,그땐 그땐 그땐,영준
78,Hiphop,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH)
79,Hiphop,Stay With Me,펀치 (Punch)
80,Hiphop,네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY),BE'O (비오)
81,Hiphop,Downtown Baby,블루 (BLOO)
82,Hiphop,Bk Love,MC 스나이퍼
83,Hiphop,겁도 없이 (feat. BIG Naughty),B.I
84,Hiphop,Counting Stars (Feat. Beenzino),BE'O (비오)
85,Hiphop,OUT OF MY SIGHT,릴러말즈 (Leellamarz)
86,Hiphop,뱅뱅뱅 (BANG BANG BANG),BIGBANG (빅뱅)
87,Hiphop,Nerdy Love (Feat. 백예린),pH-1
88,Hiphop,빌었어,창모 (CHANGMO)
89,Hiphop,대충 입고 나와,우디 (Woody)
