,Genre,Title,Artist
0,Indie,인사,범진
1,Indie,사랑할 수밖에,볼빨간사춘기
2,Indie,그대가 내 안에 박혔다(그내박),순순희(기태)
3,Indie,해요 (2022),#안녕
4,Indie,주저하는 연인들을 위해,잔나비
5,Indie,숲,최유리
6,Indie,선물,멜로망스
7,Indie,너의 번호를 누르고 (Prod. 영화처럼),#안녕
8,Indie,좋은 밤 좋은 꿈,너드커넥션 (Nerd Connection)
9,Indie,yours,데이먼스 이어 (Damons year)
10,Indie,그라데이션,10CM
11,Indie,첫사랑,백아
12,Indie,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
13,Indie,너를 생각해,주시크 (Joosiq)
14,Indie,민들레 (single ver.),우효
15,Indie,"잘 지내자, 우리",최유리
16,Indie,오래된 노래,스탠딩 에그
17,Indie,나의 사춘기에게,볼빨간사춘기
18,Indie,Way Back Home,숀 (SHAUN)
19,Indie,여행,볼빨간사춘기
20,Indie,고백,멜로망스
21,Indie,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB)
22,Indie,사랑이 아닌 단어로 사랑을 말해요,siso(시소)
23,Indie,스토커,10CM
24,Indie,폰서트,10CM
25,Indie,Love story,볼빨간사춘기
26,Indie,TOMBOY,혁오 (HYUKOH)
27,Indie,우주를 줄게,볼빨간사춘기
28,Indie,뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비
29,Indie,안아줘,정준일
30,Indie,어떻게 지내 (Prod. By VAN.C),오반
31,Indie,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비
32,Indie,가을밤에 든 생각,잔나비
33,Indie,슬픈 초대장,순순희 (지환)
34,Indie,그댄 행복에 살텐데 (2022),최유리
35,Indie,이제 우리 꿈에서만 만나,Yyeon
36,Indie,조용히 완전히 영원히,너드커넥션 (Nerd Connection)
37,Indie,널 떠올리는 중이야,Kid Wine
38,Indie,위잉위잉,혁오 (HYUKOH)
39,Indie,김철수 씨 이야기,허회경
40,Indie,You(=I),볼빨간사춘기
41,Indie,EVERYTHING,검정치마
42,Indie,서툰 이별을 하려해 (Feat.전상근),윤토벤
43,Indie,조금 취했어 (Prod. 2soo),임재현
44,Indie,좋다고 말해,볼빨간사춘기
45,Indie,스티커 사진,21학번
46,Indie,너는 내 세상이었어,볼빨간사춘기
47,Indie,썸 탈꺼야,볼빨간사춘기
48,Indie,겨울을 걷는다,윤딴딴
49,Indie,"나만, 봄",볼빨간사춘기
50,Indie,FRIEND THE END,볼빨간사춘기
51,Indie,소년,10CM
52,Indie,나만 안되는 연애,볼빨간사춘기
53,Indie,찬란한 하루,멜로망스
54,Indie,부동의 첫사랑,10CM
55,Indie,스노우볼,볼빨간사춘기
56,Indie,바라봐줘요,죠지
57,Indie,오늘,오왠 (O.WHEN)
58,Indie,아무래도 난,주시크 (Joosiq)
59,Indie,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE)
60,Indie,좋아해.. (바른연애 길잡이 X 죠지),죠지
61,Indie,She (Hidden Track No.V 1월 선정곡),잔나비
62,Indie,Downtown Baby,블루 (BLOO)
63,Indie,니가 보고싶은 밤,윤딴딴
64,Indie,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈)
65,Indie,그렇게 살아가는 것,허회경
66,Indie,동화,멜로망스
67,Indie,사랑은 은하수 다방에서,10CM
68,Indie,"너, 너",스트레이 (The Stray)
69,Indie,Madeleine Love,CHEEZE (치즈)
70,Indie,남이 될 수 있을까,스무살
71,Indie,입장차이,오반
72,Indie,봄이 좋냐??,10CM
73,Indie,한시 오분 (1:05),검정치마
74,Indie,동그라미,최유리
75,Indie,나랑 아니면,검정치마
76,Indie,새벽에만,도규
77,Indie,Little Star,스탠딩 에그
78,Indie,안았어야해 (Feat. Futuristic Swaver),JAEHA (재하)
79,Indie,Beige coat,그리즐리 (Grizzly)
80,Indie,seasons,wave to earth
81,Indie,달,스트레이 (The Stray)
82,Indie,너의 로맨스에 내 이름을 써줘 (Prod. IVY GROUND),104 (백사)
83,Indie,별 보러 갈래?,볼빨간사춘기
84,Indie,낭만젊음사랑,이세계
85,Indie,있어줘요,장덕철
