,Genre,Title,Artist
0,Pop,I Don't Think That I Like Her,Charlie Puth
1,Pop,Steal The Show (From “엘리멘탈”),Lauv
2,Pop,Dangerously,Charlie Puth
3,Pop,STAY,Justin Bieber
4,Pop,Off My Face,Justin Bieber
5,Pop,Snowman,Sia
6,Pop,Obsessed,Ayumu Imazu
7,Pop,That's Hilarious,Charlie Puth
8,Pop,2002,Anne-Marie
9,Pop,That’s Not How This Works (feat. Dan + Shay),Charlie Puth
10,Pop,Love Yourself,Justin Bieber
11,Pop,I'm Not The Only One,Sam Smith
12,Pop,Beautiful Things,Benson Boone
13,Pop,Shape of You,Ed Sheeran
14,Pop,Loving You Girl (Feat. Hkeem),Peder Elias
15,Pop,One Call Away,Charlie Puth
16,Pop,Rewrite The Stars,Zendaya
17,Pop,Every Second,Mina Okabe
18,Pop,Cruel Summer,Taylor Swift
19,Pop,Paris in the Rain,Lauv
20,Pop,Memories,Maroon 5
21,Pop,12:45 (Stripped),Etham
22,Pop,When I Get Old,청하
23,Pop,YOUTH,Troye Sivan
24,Pop,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),방탄소년단
25,Pop,Left and Right (Feat. Jung Kook of BTS),방탄소년단
26,Pop,double take,Dhruv
27,Pop,Sugar,Maroon 5
28,Pop,Bad,Christopher
29,Pop,Attention,Charlie Puth
30,Pop,There's Nothing Holdin' Me Back,Shawn Mendes
31,Pop,Believer,Imagine Dragons
32,Pop,comethru,Jeremy Zucker
33,Pop,Painkiller,Ruel
34,Pop,"yes, and?",Ariana Grande
35,Pop,GHOST TOWN,Benson Boone
36,Pop,I Like Me Better,Lauv
37,Pop,Maniac,Conan Gray
38,Pop,Bad Habits,Ed Sheeran
39,Pop,parachute,John K
40,Pop,Santa Tell Me,Ariana Grande
41,Pop,Like Strangers Do,AJ Mitchell
42,Pop,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth
43,Pop,High Hopes,Panic! At The Disco
44,Pop,Dance Monkey,Tones And I
45,Pop,Unholy,Kim Petras
46,Pop,As It Was,Harry Styles
47,Pop,Stuck with U,Justin Bieber
48,Pop,Perfect,Ed Sheeran
49,Pop,Peaches (Feat. Daniel Caesar &amp; Giveon),Justin Bieber
50,Pop,Tiny Riot,Sam Ryder
51,Pop,Lost Stars,Adam Levine
52,Pop,Numb Little Bug,Em Beihold
53,Pop,Light Switch,Charlie Puth
54,Pop,Flower,Johnny Stimson
55,Pop,bad guy,Billie Eilish
56,Pop,Never Not,Lauv
57,Pop,Stronger (What Doesn't Kill You),Kelly Clarkson
58,Pop,What Makes You Beautiful,One Direction
59,Pop,Don't Start Now,Dua Lipa
60,Pop,7 Years,Lukas Graham
61,Pop,Like 1999,Valley
62,Pop,Everytime We Touch (Radio Edit),Cascada
63,Pop,Sunroof,dazy
64,Pop,To Die For,Sam Smith
65,Pop,Unstoppable,Sia
66,Pop,Fall In Love Alone,Stacey Ryan
67,Pop,Dancing With Your Ghost,Sasha Alex Sloan
68,Pop,Savage Love (Laxed - Siren Beat) (BTS Remix),방탄소년단
69,Pop,All 4 Nothing (I'm So In Love),Lauv
70,Pop,Love U Like That,Lauv
71,Pop,Payphone (Feat. Wiz Khalifa),Maroon 5
72,Pop,My Universe,방탄소년단
73,Pop,Intrusive Thoughts,Natalie Jane
74,Pop,"always, i'll care",Jeremy Zucker
75,Pop,Ashes,Stellar
76,Pop,In The Stars,Benson Boone
77,Pop,7 rings,Ariana Grande
78,Pop,Goodbye My Baby,Jace June
79,Pop,Water,Tyla
80,Pop,Flowers,Miley Cyrus
81,Pop,Tango,Abir
82,Pop,abcdefu,GAYLE
83,Pop,Baby (Feat. Ludacris),Justin Bieber
84,Pop,"thank u, next",Ariana Grande
85,Pop,Speechless (Full) (From &quot;Aladdin&quot;/Soundtrack Version),Naomi Scott
86,Pop,This Is Me,The Greatest Showman Ensemble
87,Pop,Kiss Me More (Feat. SZA),Doja Cat
88,Pop,Last Christmas,Ariana Grande
89,Pop,That's What I Like,Bruno Mars
90,Pop,Uptown Funk (Feat. Bruno Mars),Mark Ronson
91,Pop,Watermelon Sugar,Harry Styles
92,Pop,Bonfire,Peder Elias
93,Pop,Chandelier,Sia
94,Pop,Angel Baby,Troye Sivan
95,Pop,Leave Before You Love Me,Jonas Brothers
96,Pop,High,5 Seconds of Summer
97,Pop,Thunder,Imagine Dragons
98,Pop,drunk text,Henry Moodie
99,Pop,Sunday Morning,Maroon 5
100,Pop,Underneath The Tree,Kelly Clarkson
101,Pop,Make It To Christmas,Alessia Cara
102,Pop,Back In Love,Sam Ryder
103,Pop,Let It Go,Idina Menzel
104,Pop,Made You Look,Meghan Trainor
105,Pop,TOO MUCH,Central Cee
106,Pop,Text Me Merry Christmas (Feat. Kristen Bell),Straight No Chaser
107,Pop,Christmas Without You,Ava Max
108,Pop,Santa's Coming For Us,Sia
109,Pop,"Santa, Can’t You Hear Me",Ariana Grande
110,Pop,Like It's Christmas,Jonas Brothers
111,Pop,Mistletoe,Justin Bieber
112,Pop,"Oh Santa! (Feat. Ariana Grande, Jennifer Hudson)",Mariah Carey
113,Pop,come out and play,Billie Eilish
114,Pop,Candy Cane Lane,Sia
115,Pop,White Christmas,Kelly Clarkson
116,Pop,HERE (For Christmas),Lukas Graham
117,Pop,Think of Christmas,Anne-Marie
118,Pop,Merry Christmas,Elton John
119,Pop,Christmas Tree Farm,Taylor Swift
120,Pop,My Only Wish (This Year),Britney Spears
121,Pop,Cozy Little Christmas,Katy Perry
122,Pop,Christmas Eve,Kelly Clarkson
123,Pop,All I Want For Christmas Is You (SuperFestive!),Mariah Carey
124,Pop,25th,Tori Kelly
125,Pop,Warm on a Christmas Night,HONNE
126,Pop,All I Want For Christmas Is You,New Hope Club
127,Pop,With You This Christmas,Why Don't We
128,Pop,You Make It Feel Like Christmas (Feat. Blake Shelton),Gwen Stefani
129,Pop,Count on Christmas,Bebe Rexha
130,Pop,Loneliest Time Of Year,Mabel
131,Pop,Christmas Lights,Coldplay
132,Pop,Baby It's Cold Outside (with Michael Bublé),Michael Buble
133,Pop,Kiss You This Christmas,Why Don't We
134,Pop,My Kind Of Present,Meghan Trainor
135,Pop,My Only Wish (feat. Christopher),Jubel
136,Pop,Naughty List,Dixie
137,Pop,I Want That,(여자)아이들
138,Pop,Here With Me,d4vd
139,Pop,vampire,Olivia Rodrigo
140,Pop,Overdrive,Post Malone
141,Pop,Rush,Troye Sivan
142,Pop,Chemical,Post Malone
143,Pop,Señorita,Camila Cabello
144,Pop,Bad Boy,Christopher
145,Pop,HandClap,Fitz &amp; The Tantrums
146,Pop,Expectations,(여자)아이들
147,Pop,Call Me Maybe,Carly Rae Jepsen
148,Pop,Mad at Disney,salem ilese
149,Pop,If We Ever Broke Up,Mae Stephens
150,Pop,Eyes Closed,Ed Sheeran
151,Pop,Dance The Night,Dua Lipa
152,Pop,pick up the phone,Henry Moodie
153,Pop,I'm Yours,Jason Mraz
154,Pop,My Stupid Heart (Kids Version),Luminati Suns
155,Pop,Barbie Dreams (feat. Kaliii),FIFTY FIFTY
156,Pop,"Angel Pt. 2 (Feat. JVKE, Charlie Puth, Muni Long)",Fast &amp; Furious: The Fast Saga
157,Pop,24K Magic,Bruno Mars
158,Pop,Marvin Gaye (Feat. Meghan Trainor),Charlie Puth
159,Pop,Lilith (Diablo IV Anthem),SUGA
160,Pop,Loser,Charlie Puth
161,Pop,Hold On Tight,aespa
162,Pop,Know Me Too Well,Danna Paola
163,Pop,Mourning,Post Malone
164,Pop,Ring Pop,Jax
165,Pop,cheap sunglasses,John K
166,Pop,how deep?,Tai Verdes
167,Pop,Paper Plane,Peder Elias
168,Pop,Anti-Hero,Taylor Swift
169,Pop,How Do I Say Goodbye,Dean Lewis
170,Pop,sheluvme,Tai Verdes
171,Pop,Shivers,Ed Sheeran
172,Pop,I'm Not Here To Make Friends,Calvin Harris
173,Pop,Talking To Myself (demo),Lauv
174,Pop,World's Smallest Violin,AJR
175,Pop,Before You,Benson Boone
176,Pop,VICIOUS,Thomas Day
177,Pop,Me Too,Meghan Trainor
178,Pop,don't miss me,Claire Rosinkranz
