,Genre,Title,Artist
0,R&B,To. X,태연 (TAEYEON)
1,R&B,밤양갱,비비 (BIBI)
2,R&B,"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",그루비룸 (GroovyRoom)
3,R&B,Either Way,IVE (아이브)
4,R&B,Merry PLLIstmas,PLAVE
5,R&B,"Shh.. (Feat. 혜인(HYEIN), 조원선 &amp; Special Narr. 패티김)",아이유
6,R&B,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
7,R&B,Yes or No,정국
8,R&B,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
9,R&B,Still With You,정국
10,R&B,너를 생각해,주시크 (Joosiq)
11,R&B,Thinkin' About You,H1-KEY (하이키)
12,R&B,Nobody Knows,KISS OF LIFE
13,R&B,빛이 나는 너에게,던 (DAWN)
14,R&B,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize)
15,R&B,...사랑했잖아...,린
16,R&B,사랑노래,dori
17,R&B,괜찮아도 괜찮아 (That's okay),디오 (D.O.)
18,R&B,Beautiful,Crush
19,R&B,DIE 4 YOU,DEAN
20,R&B,Bye bye my blue,백예린 (Yerin Baek)
21,R&B,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB)
22,R&B,Sugarcoat (NATTY Solo),KISS OF LIFE
23,R&B,사랑이라 믿었던 것들은 (Feat. 이수현),BIG Naughty (서동현)
24,R&B,Thirsty,aespa
25,R&B,Vancouver,BIG Naughty (서동현)
26,R&B,Square (2017),백예린 (Yerin Baek)
27,R&B,안 아름답고도 안 아프구나,원슈타인
28,R&B,Boat,죠지
29,R&B,밤 (Night),dori
30,R&B,헤픈 우연,헤이즈 (Heize)
31,R&B,바람기억,나얼
32,R&B,머물러주오 (Prod. 안신애 &amp; Philtre),소수빈
33,R&B,"All I Wanna Do (K) (Feat. Hoody, Loco)",박재범
34,R&B,미워 (Ego),Crush
35,R&B,instagram,DEAN
36,R&B,한숨,이하이
37,R&B,Dear. PLLI,PLAVE
38,R&B,딱 10CM만,BIG Naughty (서동현)
39,R&B,이제 우리 꿈에서만 만나,Yyeon
40,R&B,보고싶었어,WSG워너비(4FIRE)
41,R&B,사람 Pt.2 (feat. 아이유),Agust D
42,R&B,벌써 일년,브라운 아이즈
43,R&B,한번만 더,소수빈
44,R&B,넌 쉽게 말했지만,소수빈
45,R&B,Be There For Me,NCT 127
46,R&B,비,폴킴
47,R&B,D (half moon) (Feat. 개코),DEAN
48,R&B,GANADARA (Feat. 아이유),박재범
49,R&B,Rush Hour (Feat. j-hope of BTS),Crush
50,R&B,체념,빅마마
51,R&B,"무제(無題) (Untitled, 2014)",G-DRAGON
52,R&B,썸 (Feat. 릴보이 Of 긱스),정기고
53,R&B,미안해,양다일
54,R&B,팔레트 (Feat. G-DRAGON),아이유
55,R&B,밤이 되니까,펀치 (Punch)
56,R&B,Smart,LE SSERAFIM (르세라핌)
57,R&B,"하나,둘 (Feat. 펀치 (Punch))",김승민
58,R&B,너를 위해,시우민 (XIUMIN)
59,R&B,친구라도 될 걸 그랬어,거미
60,R&B,Love Me Again,V
61,R&B,떠나 (Prod. PATEKO (파테코)),Jayci yucca (제이씨 유카)
62,R&B,잊어버리지마 (Feat. 태연),Crush
63,R&B,"낭만교향곡 (Feat. CHANGMO, 박재범)",BIG Naughty (서동현)
64,R&B,그런 일은,Paul Blanco
65,R&B,밝게 빛나는 별이 되어 비춰줄게,송이한
66,R&B,사랑이 잘 (With 오혁),아이유
67,R&B,우주를 건너,백예린 (Yerin Baek)
68,R&B,Polaroid Love,ENHYPEN
69,R&B,와르르 ♥,Colde (콜드)
70,R&B,귀로,나얼
71,R&B,Take Two,방탄소년단
72,R&B,Dream (Prod. by 박근태),백현 (BAEKHYUN)
73,R&B,친구로 지내다 보면 (Feat. 김민석 of 멜로망스),BIG Naughty (서동현)
74,R&B,아무래도 난,주시크 (Joosiq)
75,R&B,UNLOVE (prod. HONNE),Zion.T
76,R&B,같은 시간 속의 너,나얼
77,R&B,그건 아마 우리의 잘못은 아닐 거야,백예린 (Yerin Baek)
78,R&B,한강에서 (Feat. BIG Naughty),폴킴
79,R&B,도망가자 (Run With Me),선우정아
80,R&B,갖고놀래 (Feat. 다이나믹 듀오),범키
81,R&B,"눈, 코, 입",태양
82,R&B,오늘 취하면 (Feat. 창모) (Prod. SUGA),SURAN (수란)
83,R&B,내사람,SG 워너비
84,R&B,꽃 길,BIGBANG (빅뱅)
85,R&B,삐삐,아이유
86,R&B,Slow Dancing,V
87,R&B,0310,백예린 (Yerin Baek)
88,R&B,정말 사랑했을까,브라운 아이드 소울
89,R&B,예고 없이,헤이즈 (Heize)
90,R&B,Hurt,NewJeans
91,R&B,날 그만 잊어요,거미
92,R&B,연,빅마마
93,R&B,Must Have Love,브라운아이드걸스
94,R&B,_WORLD,세븐틴 (SEVENTEEN)
95,R&B,Perfume,NCT 도재정
96,R&B,2 O' CLOCK,dori
97,R&B,Beige coat,그리즐리 (Grizzly)
98,R&B,Click Like (Prod. Crush) (Feat. Paul Blanco),Crush
99,R&B,"INFJ (Feat. B.I, 방예담)",BIG Naughty (서동현)
100,R&B,나 홀로 집에 (Home Alone),NCT 127
101,R&B,Melt Away,태연 (TAEYEON)
102,R&B,Guilty,태민 (TAEMIN)
103,R&B,와줘..,그리즐리 (Grizzly)
104,R&B,하얀 거짓말 (White Lie),NCT 127
105,R&B,Somebody,정국
106,R&B,소우주 (Mikrokosmos),방탄소년단
107,R&B,벌써 크리스마스,정세운
108,R&B,흠칫 (Hmm-cheat),Crush
109,R&B,그댄 달라요 (말하고 싶은 비밀 X 권진아),권진아
110,R&B,첫눈동화 (My First Snow),마크툽 (MAKTUB)
111,R&B,크리스마스데이 (Christmas Day),이광현
112,R&B,Fabulous,태연 (TAEYEON)
113,R&B,Rainy Days,V
