,Genre,Title,Artist
0,Rock,에피소드,이무진
1,Rock,예뻤어,DAY6 (데이식스)
2,Rock,한 페이지가 될 수 있게,DAY6 (데이식스)
3,Rock,사건의 지평선,윤하 (YOUNHA)
4,Rock,심(心),DK(디셈버)
5,Rock,Discord,QWER
6,Rock,주저하는 연인들을 위해,잔나비
7,Rock,Shopper,아이유
8,Rock,무지개,임영웅
9,Rock,London Boy,임영웅
10,Rock,Polaroid,임영웅
11,Rock,여섯 번째 여름,PLAVE
12,Rock,관객이 될게 (I stan U),아이유
13,Rock,TOMBOY,(여자)아이들
14,Rock,좋은 밤 좋은 꿈,너드커넥션 (Nerd Connection)
15,Rock,잠깐 시간 될까,이무진
16,Rock,Blueming,아이유
17,Rock,신호등,이무진
18,Rock,민들레 (single ver.),우효
19,Rock,사랑했나봐,윤도현
20,Rock,"잘 지내자, 우리",최유리
21,Rock,오르트구름,윤하 (YOUNHA)
22,Rock,Vancouver 2,BIG Naughty (서동현)
23,Rock,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
24,Rock,시작,가호 (Gaho)
25,Rock,사랑의 바보,더 넛츠 (The NuTs)
26,Rock,여행,볼빨간사춘기
27,Rock,strawberry moon,아이유
28,Rock,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
29,Rock,에잇(Prod.&amp;Feat. SUGA of BTS),아이유
30,Rock,Love poem,아이유
31,Rock,첫 키스에 내 심장은 120BPM,경서
32,Rock,뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비
33,Rock,안아줘,정준일
34,Rock,남자를 몰라,버즈
35,Rock,흰수염고래,YB (윤도현 밴드)
36,Rock,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비
37,Rock,가을밤에 든 생각,잔나비
38,Rock,"스물다섯, 스물하나",자우림
39,Rock,옥탑방 (Rooftop),엔플라잉 (N.Flying)
40,Rock,예뻤어 (여름날 우리 X 김민석 (멜로망스)),김민석
41,Rock,비와 당신,이무진
42,Rock,I (Feat. 버벌진트),태연 (TAEYEON)
43,Rock,조용히 완전히 영원히,너드커넥션 (Nerd Connection)
44,Rock,널 떠올리는 중이야,Kid Wine
45,Rock,위잉위잉,혁오 (HYUKOH)
46,Rock,기억을 걷는 시간,넬 (NELL)
47,Rock,낙하 (with 아이유),AKMU (악뮤)
48,Rock,가시,버즈
49,Rock,형 (兄),노라조
50,Rock,My Love (And),버즈
51,Rock,EVERYTHING,검정치마
52,Rock,Monologue,버즈
53,Rock,Never Ending Story,부활
54,Rock,겨울을 걷는다,윤딴딴
55,Rock,CHRISTIAN,Zior Park
56,Rock,안녕 (Hello),조이 (JOY)
57,Rock,질풍가도 ('쾌걸 근육맨 2세' 1기 여는노래),유정석
58,Rock,벚꽃 엔딩,버스커 버스커
59,Rock,기다릴게,PLAVE
60,Rock,사랑앓이,FTISLAND (FT아일랜드)
61,Rock,비밀번호 486,윤하 (YOUNHA)
62,Rock,겁쟁이,버즈
63,Rock,고백,델리스파이스
64,Rock,이미 슬픈 사랑,야다 (Yada)
65,Rock,Starlight,태일 (TAEIL)
66,Rock,Endless,플라워
67,Rock,나에게로 떠나는 여행,버즈
68,Rock,Drive,미연 ((여자)아이들)
69,Rock,고백 (영화 '동감' X 츄 (이달의 소녀)),츄 (CHUU)
70,Rock,행복했던 날들이었다,DAY6 (데이식스)
71,Rock,발걸음,에메랄드 캐슬
72,Rock,노래방에서,장범준
73,Rock,개화 (Flowering),LUCY
74,Rock,Love me or Leave me,DAY6 (데이식스)
75,Rock,별 보러 가자,적재
76,Rock,Broken Melodies,NCT DREAM
77,Rock,그렇지 않아,규현 (KYUHYUN)
78,Rock,내 마음이 너에게 닿기를,경서
79,Rock,한시 오분 (1:05),검정치마
80,Rock,사랑은 가슴이 시킨다,버즈
81,Rock,연착,BIG Naughty (서동현)
82,Rock,나랑 아니면,검정치마
83,Rock,옛 친구에게,홍이삭
84,Rock,제주도의 푸른 밤,태연 (TAEYEON)
85,Rock,아니 근데 진짜,LUCY
86,Rock,seasons,wave to earth
87,Rock,하늘 끝에서 흘린 눈물,주니퍼
88,Rock,맨정신,BIGBANG (빅뱅)
89,Rock,너를 보내고,YB (윤도현 밴드)
90,Rock,낭만젊음사랑,이세계
91,Rock,Zombie,DAY6 (데이식스)
92,Rock,초록을거머쥔우리는,잔나비
93,Rock,Revenge,(여자)아이들
94,Rock,돌덩이,하현우 (국카스텐)
95,Rock,Good Morning,YENA (최예나)
96,Rock,1조,이찬혁
97,Rock,Higher,비투비
98,Rock,졸업,달담
99,Rock,나는 나비,YB (윤도현 밴드)
100,Rock,사랑 Two,윤도현
101,Rock,환호,Young K (DAY6)
102,Rock,그대만 있다면,러브홀릭
103,Rock,Home Sweet Home,카더가든
104,Rock,비의 랩소디,최재훈
105,Rock,시대유감 (時代遺憾) (2024 aespa Remake Ver.),aespa
106,Rock,봄 to 러브,10CM
107,Rock,Made In Christmas (feat. 이수현 of 악동뮤지션),잔나비
108,Rock,Goodbye my love,볼빨간사춘기
109,Rock,직항,BIG Naughty (서동현)
110,Rock,투게더!,잔나비
111,Rock,청춘이 버겁다 (Prod. 정동환) (베일드뮤지션 X 이무진 with 화곡동),이무진
112,Rock,사랑하는 법을 몰라서 (2023),FTISLAND (FT아일랜드)
113,Rock,혜성,윤하 (YOUNHA)
114,Rock,Headliner,세븐틴 (SEVENTEEN)
115,Rock,"몇 번의 여름 (여름날 우리 X TOIL, Gist)",DAY6 (Even of Day)
116,Rock,Boogie Man,Gist
117,Rock,心 (심),윤도현
118,Rock,물수제비,투모로우바이투게더
119,Rock,Angel Eyes,NCT 127
120,Rock,유리의 성 (Castle of Glass),마크툽 (MAKTUB)
121,Rock,비행운,문문 (MoonMoon)
122,Rock,꿈과 책과 힘과 벽,잔나비
123,Rock,I Love You,AKMU (악뮤)
124,Rock,꿈나라 별나라,잔나비
125,Rock,Growing Pain,투모로우바이투게더
126,Rock,Blue Spring,투모로우바이투게더
127,Rock,시작된 걸까 (Prod. My Aunt Mary),10CM
128,Rock,Lost,디오 (D.O.)
129,Rock,The Astronaut,진
130,Rock,On The Ground,로제 (ROSÉ)
131,Rock,Hate Rodrigo (Feat. 우기 ((여자)아이들)),YENA (최예나)
132,Rock,올려,영탁
133,Rock,여수 밤바다,버스커 버스커
134,Rock,측정거부,이무진
