Id,Title,Artist,Genre
0,Love wins all,아이유,Ballad
1,비의 랩소디,임재현,Ballad
2,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),Ballad
3,헤어지자 말해요,박재정,Ballad
4,인사,범진,Ballad
5,꿈,태연 (TAEYEON),Ballad
6,너의 모든 순간,성시경,Ballad
7,사막에서 꽃을 피우듯,우디 (Woody),Ballad
8,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,Ballad
9,사랑은 늘 도망가,임영웅,Ballad
10,사랑인가 봐,멜로망스,Ballad
11,첫 눈,EXO,Ballad
12,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),Ballad
13,사랑하지 않아서 그랬어,임한별,Ballad
14,사랑할 수밖에,볼빨간사춘기,Ballad
15,그대가 내 안에 박혔다(그내박),순순희(기태),Ballad
16,취중고백,김민석,Ballad
17,기억해줘요 내 모든 날과 그때를,화곡동 청개구리,Ballad
18,별 떨어진다 (I Do),디오 (D.O.),Ballad
19,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,Ballad
20,해요 (2022),#안녕,Ballad
21,사랑..그게 뭔데,지아,Ballad
22,물론,허각,Ballad
23,"그대가 있는 곳, 언제 어디든",로이킴,Ballad
24,다정히 내 이름을 부르면,전건호,Ballad
25,I Love You,안세하,Ballad
26,우리들의 블루스,임영웅,Ballad
27,모래 알갱이,임영웅,Ballad
28,나에게 그대만이,탑현,Ballad
29,눈이 오잖아(Feat.헤이즈),이무진,Ballad
30,다시 만날 수 있을까,임영웅,Ballad
31,잠시라도 우리,나얼,Ballad
32,아버지,임영웅,Ballad
33,인생찬가,임영웅,Ballad
34,희재,성시경,Ballad
35,어른,Sondia,Ballad
36,널 미워하기로 했어,이예준,Ballad
37,하루,에일리(Ailee),Ballad
38,그중에 그대를 만나,김호중,Ballad
39,새벽 통화,적재,Ballad
40,밤편지,아이유,Ballad
41,"밤, 바다",최유리,Ballad
42,첫눈처럼 너에게 가겠다,에일리(Ailee),Ballad
43,밤하늘의 별을(2020),경서,Ballad
44,선물,멜로망스,Ballad
45,너의 번호를 누르고 (Prod. 영화처럼),#안녕,Ballad
46,그리워하다,비투비,Ballad
47,@은영이에게,#안녕,Ballad
48,응급실,izi,Ballad
49,Monologue,테이,Ballad
50,All For You,정은지,Ballad
51,yours,데이먼스 이어 (Damons year),Ballad
52,내가 아니라도,주호,Ballad
53,사실말야내가말야그게그러니까말이야,케이시 (Kassy),Ballad
54,너였다면,정승환,Ballad
55,달빛에 그려지는,미연 ((여자)아이들),Ballad
56,아로하,조정석,Ballad
57,늦은 밤 너의 집 앞 골목길에서,노을,Ballad
58,내 손을 잡아,아이유,Ballad
59,취기를 빌려 (취향저격 그녀 X 산들),산들,Ballad
60,너를 만나,폴킴,Ballad
61,다시 사랑한다면 (니글니글 버터플라이),김필,Ballad
62,그때 헤어지면 돼,로이킴,Ballad
63,거리에서,성시경,Ballad
64,나의 X에게,경서,Ballad
65,Heaven(2023),임재현,Ballad
66,마음을 드려요,아이유,Ballad
67,광화문에서 (At Gwanghwamun),규현 (KYUHYUN),Ballad
