Song,Title,Singer,About,일치여부
Love wins all,IU - Love wins all (Romanized)!,Genius Romanizations,"‘Love Wins All’ is a beautifully poignant ballad, originally titled ‘Love Wins’, is her first solo release since 2021. The MV features BTS member V, portraying the story of two lovers in an apocalyptic world who succumb to their fates whilst intertwined through their love and devotion to each other.",불일치
비의 랩소디,비의 랩소디 (Rhapsody of Sadness)!,Jaehyun Lim (임재현),-,불일치
그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),그대만 있다면 (If I have you only) (My love)!,Nerd Connection,-,불일치
헤어지자 말해요,헤어지자 말해요 (Let’s Say Goodbye)!,Parc Jae Jung (박재정),-,불일치
인사,NCT DREAM - 마지막 인사 (To My First) (English Translation)!,Genius English Translations,"It’s a song that helps us move on from our memorable first loves. It looks back on the firsts, the memories, laughter, and the very mundane things about love.
We were all so young when we first felt love. And once it ends and we grow up, we tend to hold onto the entirety of the memories of it, thinking and knowing we could’ve done better. After all that time, the only feeling we felt aside from reminisce, was regret.
We hold onto those memories because we fear the loneliness and emptiness away from those happy times of feeling free and living.
The song states that it’s okay to be awkward and make mistakes when in love, but it guides us to the conclusion that we all must let go and say goodbye to the memories that we hold onto dearly, even if it pains us to do so because sometimes, holding on hurts, especially if there’s no one to help you back up again. No one but yourself",불일치
꿈,"SEVENTEEN - 같은 꿈, 같은 맘, 같은 밤 (Same dream, same mind, same night) (English Translation)!",Genius English Translations,-,불일치
너의 모든 순간,너의 모든 순간 (Every Moment of You) (Inst.)!,Sung Si-Kyung (성시경),-,불일치
사막에서 꽃을 피우듯,사막에서 꽃을 피우듯 (Flower in the Desert)!,Woody (우디),"The song “사막에서 꽃을 피우듯” (Flower in the Desert) is a single realeased by Woody.
The song is about finding love and experiencing the transformative power of that love. The lyrics express the joy and gratitude felt upon waking up in the morning and freely confessing their love for someone.
At the same time, an english version has been released too.",불일치
"잘 지내자, 우리 (여름날 우리 X 로이킴)","잘 지내자, 우리 (Let’s Stay Well)!",Choi Yu Ree (최유리),-,불일치
사랑은 늘 도망가,사랑은 늘 도망가 (Love Always Run Away)!,Lim Young Woong (임영웅),-,불일치
