,Title,Artist,Genre,Url,Happy,Sad,Energized,Relaxed,Nostalgic,Romantic,Angry,Focused,Inspired,Melancholic,Peaceful,Anxious,Confident,Dreamy,Lonely
0,Love wins all,아이유,Ballad,https://www.youtube.com/watch?v=KBGeoGl6AVA&pp=ygUdTG92ZSB3aW5zIGFsbCDslYTsnbTsnKAgYXVkaW8%3D,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1,비의 랩소디,임재현,Ballad,https://www.youtube.com/watch?v=TyCYGCCD6iQ&pp=ygUg67mE7J2YIOueqeyGjOuUlCDsnoTsnqztmIQgYXVkaW8%3D,,,,,,,,,,,,,,,
2,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),Ballad,https://www.youtube.com/watch?v=IMWT6937uUs&pp=ygVy6re464yA66eMIOyeiOuLpOuptCAo7Jes66aE64KgIOyasOumrCBYIOuEiOuTnOy7pOuEpeyFmCAoTmVyZCBDb25uZWN0aW9uKSkg64SI65Oc7Luk64Sl7IWYIChOZXJkIENvbm5lY3Rpb24pIGF1ZGlv,,,,,,,,,,,,,,,
3,헤어지자 말해요,박재정,Ballad,https://www.youtube.com/watch?v=SrQzxD8UFdM&pp=ygUm7Zek7Ja07KeA7J6QIOunkO2VtOyalCDrsJXsnqzsoJUgYXVkaW8%3D,,,,,,,,,,,,,,,
4,인사,범진,Ballad,https://www.youtube.com/watch?v=q0oUosezzSg&pp=ygUT7J247IKsIOuylOynhCBhdWRpbw%3D%3D,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1
5,꿈,태연 (TAEYEON),Ballad,https://www.youtube.com/watch?v=bOlsEDDyeM8&pp=ygUa6r-IIO2DnOyXsCAoVEFFWUVPTikgYXVkaW8%3D,,,,,,,,,,,,,,,
6,너의 모든 순간,성시경,Ballad,https://www.youtube.com/watch?v=F_gLLdre5V4&pp=ygUk64SI7J2YIOuqqOuToCDsiJzqsIQg7ISx7Iuc6rK9IGF1ZGlv,,,,,,,,,,,,,,,
7,사막에서 꽃을 피우듯,우디 (Woody),Ballad,https://www.youtube.com/watch?v=MUSjR824ddQ&pp=ygUy7IKs66eJ7JeQ7IScIOq9g-ydhCDtlLzsmrDrk68g7Jqw65SUIChXb29keSkgYXVkaW8%3D,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0
8,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,Ballad,https://www.youtube.com/watch?v=MbSAeRQl0Xw&pp=ygVE7J6YIOyngOuCtOyekCwg7Jqw66asICjsl6zrpoTrgqAg7Jqw66asIFgg66Gc7J207YK0KSDroZzsnbTtgrQgYXVkaW8%3D,,,,,,,,,,,,,,,
9,사랑은 늘 도망가,임영웅,Ballad,https://www.youtube.com/watch?v=Jr_2uyCJVUc&pp=ygUn7IKs656R7J2AIOuKmCDrj4Trp53qsIAg7J6E7JiB7JuFIGF1ZGlv,,,,,,,,,,,,,,,
10,사랑인가 봐,멜로망스,Ballad,https://www.youtube.com/watch?v=McidaTgrQB0&pp=ygUj7IKs656R7J246rCAIOu0kCDrqZzroZzrp53siqQgYXVkaW8%3D,,,,,,,,,,,,,,,
11,첫 눈,EXO,Ballad,https://www.youtube.com/watch?v=h0b4nw7NDhA&pp=ygUR7LKrIOuIiCBFWE8gYXVkaW8%3D,,,,,,,,,,,,,,,
12,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),Ballad,https://www.youtube.com/watch?v=LJZPplkY6_s&pp=ygVT7Ja065a76rKMIOydtOuzhOq5jOyngCDsgqzrnpHtlZjqsqDslrQsIOuEkCDsgqzrnpHtlZjripQg6rGw7KeAIEFLTVUgKOyVheuupCkgYXVkaW8%3D,,,,,,,,,,,,,,,
13,사랑하지 않아서 그랬어,임한별,Ballad,https://www.youtube.com/watch?v=uCT4YCk6cvs&pp=ygUw7IKs656R7ZWY7KeAIOyViuyVhOyEnCDqt7jrnqzslrQg7J6E7ZWc67OEIGF1ZGlv,,,,,,,,,,,,,,,
14,사랑할 수밖에,볼빨간사춘기,Ballad,https://www.youtube.com/watch?v=fIgio5uYCaY&pp=ygUs7IKs656R7ZWgIOyImOuwluyXkCDrs7zruajqsITsgqzstpjquLAgYXVkaW8%3D,,,,,,,,,,,,,,,
15,그대가 내 안에 박혔다(그내박),순순희(기태),Ballad,https://www.youtube.com/watch?v=1mlPruKuwk8&pp=ygVB6re464yA6rCAIOuCtCDslYjsl5Ag67CV7ZiU64ukKOq3uOuCtOuwlSkg7Iic7Iic7Z2sKOq4sO2DnCkgYXVkaW8%3D,,,,,,,,,,,,,,,
16,취중고백,김민석,Ballad,https://www.youtube.com/watch?v=BNkpyqckJec&pp=ygUc7Leo7KSR6rOg67CxIOq5gOuvvOyEnSBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
17,기억해줘요 내 모든 날과 그때를,화곡동 청개구리,Ballad,https://www.youtube.com/watch?v=YbbdlmurXXI&pp=ygVI6riw7Ja17ZW07KSY7JqUIOuCtCDrqqjrk6Ag64Kg6rO8IOq3uOuVjOulvCDtmZTqs6Hrj5kg7LKt6rCc6rWs66asIGF1ZGlv,,,,,,,,,,,,,,,
18,별 떨어진다 (I Do),디오 (D.O.),Ballad,https://www.youtube.com/watch?v=_bi4NXB0i70&pp=ygUr67OEIOuWqOyWtOynhOuLpCAoSSBEbykg65SU7JikIChELk8uKSBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
19,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,Ballad,https://www.youtube.com/watch?v=64uidOIH2vY&pp=ygVA66qo65OgIOuCoCwg66qo65OgIOyInOqwhCAoRXZlcnkgZGF5LCBFdmVyeSBNb21lbnQpIO2PtO2CtCBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
20,해요 (2022),#안녕,Ballad,https://www.youtube.com/watch?v=P6gV_t70KAk&pp=ygUO7ZW07JqUICgyMDIyKSA%3D,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1
21,사랑..그게 뭔데,지아,Ballad,https://www.youtube.com/watch?v=crgvbjlLrTc&pp=ygUi7IKs656RLi7qt7jqsowg662U642wIOyngOyVhCBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
22,물론,허각,Ballad,https://www.youtube.com/watch?v=XyxeDOa38-g&pp=ygUT66y866GgIO2XiOqwgSBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
23,"그대가 있는 곳, 언제 어디든",로이킴,Ballad,https://www.youtube.com/watch?v=txtfrHBvI7c&pp=ygU26re464yA6rCAIOyeiOuKlCDqs7MsIOyWuOygnCDslrTrlJTrk6Ag66Gc7J207YK0IGF1ZGlv,,,,,,,,,,,,,,,
24,다정히 내 이름을 부르면,전건호,Ballad,https://www.youtube.com/watch?v=b_6EfFZyBxY&pp=ygUx64uk7KCV7Z6IIOuCtCDsnbTrpoTsnYQg67aA66W066m0IOyghOqxtO2YuCBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
25,I Love You,안세하,Ballad,https://www.youtube.com/watch?v=OwBVD6pbe94&pp=ygUaSSBMb3ZlIFlvdSDslYjshLjtlZggYXVkaW8%3D,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1
26,우리들의 블루스,임영웅,Ballad,https://www.youtube.com/watch?v=JPPIrXdocjQ&pp=ygUm7Jqw66as65Ok7J2YIOu4lOujqOyKpCDsnoTsmIHsm4UgYXVkaW8%3D,,,,,,,,,,,,,,,
27,모래 알갱이,임영웅,Ballad,https://www.youtube.com/watch?v=3_wOZrzmQ1o&pp=ygUg66qo656YIOyVjOqwseydtCDsnoTsmIHsm4UgYXVkaW8%3D,,,,,,,,,,,,,,,
28,나에게 그대만이,탑현,Ballad,https://www.youtube.com/watch?v=pg25CSvNrEE&pp=ygUj64KY7JeQ6rKMIOq3uOuMgOunjOydtCDtg5HtmIQgYXVkaW8%3D,,,,,,,,,,,,,,,
29,눈이 오잖아(Feat.헤이즈),이무진,Ballad,https://www.youtube.com/watch?v=GUbEw6B4iJI&pp=ygUw64iI7J20IOyYpOyeluyVhChGZWF0Lu2XpOydtOymiCkg7J2066y07KeEIGF1ZGlv,,,,,,,,,,,,,,,
30,다시 만날 수 있을까,임영웅,Ballad,https://www.youtube.com/watch?v=VPDRLgfqfSs&pp=ygUr64uk7IucIOunjOuCoCDsiJgg7J6I7J2E6rmMIOyehOyYgeybhSBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
31,잠시라도 우리,나얼,Ballad,https://www.youtube.com/watch?v=tzPcWWktJRs&pp=ygUg7J6g7Iuc652864-EIOyasOumrCDrgpjslrwgYXVkaW8%3D,,,,,,,,,,,,,,,
32,아버지,임영웅,Ballad,https://www.youtube.com/watch?v=dbaiMJOnaB4&pp=ygUZ7JWE67KE7KeAIOyehOyYgeybhSBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
33,인생찬가,임영웅,Ballad,https://www.youtube.com/watch?v=DmzTBoUmCOw&pp=ygUc7J247IOd7LCs6rCAIOyehOyYgeybhSBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
34,희재,성시경,Ballad,https://www.youtube.com/watch?v=nD1p_H3qo_A&pp=ygUW7Z2s7J6sIOyEseyLnOqyvSBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
35,어른,Sondia,Ballad,https://www.youtube.com/watch?v=qJe9SZZYkHw&pp=ygUT7Ja066W4IFNvbmRpYSBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
36,널 미워하기로 했어,이예준,Ballad,https://www.youtube.com/watch?v=AgQtFKLYdNQ&pp=ygUq64SQIOuvuOybjO2VmOq4sOuhnCDtlojslrQg7J207JiI7KSAIGF1ZGlv,,,,,,,,,,,,,,,
37,하루,에일리(Ailee),Ballad,https://www.youtube.com/watch?v=UQEBf4bGb-c&pp=ygUd7ZWY66OoIOyXkOydvOumrChBaWxlZSkgYXVkaW8%3D,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
38,그중에 그대를 만나,김호중,Ballad,https://www.youtube.com/watch?v=-vL7zgoA8_c&pp=ygUq6re47KSR7JeQIOq3uOuMgOulvCDrp4zrgpgg6rmA7Zi47KSRIGF1ZGlv,,,,,,,,,,,,,,,
39,새벽 통화,적재,Ballad,https://www.youtube.com/watch?v=XjdAJ5Oy-AQ&pp=ygUa7IOI67K9IO2Gte2ZlCDsoIHsnqwgYXVkaW8%3D,,,,,,,,,,,,,,,
40,밤편지,아이유,Ballad,https://www.youtube.com/watch?v=6744glqD6lk&pp=ygUZ67Ck7Y647KeAIOyVhOydtOycoCBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
41,"밤, 바다",최유리,Ballad,https://www.youtube.com/watch?v=QxJP8LlLqzQ&pp=ygUb67CkLCDrsJTri6Qg7LWc7Jyg66asIGF1ZGlv,,,,,,,,,,,,,,,
42,첫눈처럼 너에게 가겠다,에일리(Ailee),Ballad,https://www.youtube.com/watch?v=6rS7OUGXUik&pp=ygU37LKr64iI7LKY65-8IOuEiOyXkOqyjCDqsIDqsqDri6Qg7JeQ7J2866asKEFpbGVlKSBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
43,밤하늘의 별을(2020),경서,Ballad,https://www.youtube.com/watch?v=LCBsfLaJl-A&pp=ygUm67Ck7ZWY64qY7J2YIOuzhOydhCgyMDIwKSDqsr3shJwgYXVkaW8%3D,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
44,선물,멜로망스,Ballad,https://www.youtube.com/watch?v=SgB0EuliT_A&pp=ygUZ7ISg66y8IOupnOuhnOunneyKpCBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
45,너의 번호를 누르고 (Prod. 영화처럼),#안녕,Ballad,https://www.youtube.com/watch?v=4OWRJ8Hnkz4&pp=ygUw64SI7J2YIOuyiO2YuOulvCDriITrpbTqs6AgKFByb2QuIOyYge2ZlOyymOufvCkg,,,,,,,,,,,,,,,
46,그리워하다,비투비,Ballad,https://www.youtube.com/watch?v=3iij9JbgBp4&pp=ygUf6re466as7JuM7ZWY64ukIOu5hO2IrOu5hCBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
47,@은영이에게,#안녕,Ballad,https://www.youtube.com/watch?v=54UCejusuFA&pp=ygURQOydgOyYgeydtOyXkOqyjCA%3D,,,,,,,,,,,,,,,
48,응급실,izi,Ballad,https://www.youtube.com/watch?v=E-BvyQb7mWE&pp=ygUT7J2R6riJ7IukIGl6aSBhdWRpbw%3D%3D,,,,,,,,,,,,,,,
49,Monologue,테이,Ballad,https://www.youtube.com/watch?v=wQEzVfYNHhw&pp=ygUWTW9ub2xvZ3VlIO2FjOydtCBhdWRpbw%3D%3D,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1
50,All For You,정은지,Ballad,https://www.youtube.com/watch?v=OKtMZvukAM4&pp=ygUbQWxsIEZvciBZb3Ug7KCV7J2A7KeAIGF1ZGlv,,,,,,,,,,,,,,,
